bank account or service, 2017, 7039, 178, 16
bank account or service, 2016, 21886, 227, 15
bank account or service, 2015, 17103, 214, 17
bank account or service, 2014, 14752, 259, 17
bank account or service, 2013, 13329, 159, 18
bank account or service, 2012, 12097, 97, 19
checking or savings account, 2021, 3515, 150, 16
checking or savings account, 2020, 24213, 269, 14
checking or savings account, 2019, 21773, 249, 15
checking or savings account, 2018, 21192, 213, 16
checking or savings account, 2017, 12687, 177, 17
consumer loan, 2018, 4, 4, 25
consumer loan, 2017, 3677, 455, 8
consumer loan, 2016, 9545, 639, 7
consumer loan, 2015, 7888, 595, 9
consumer loan, 2014, 5450, 342, 8
consumer loan, 2013, 3079, 157, 12
consumer loan, 2012, 1960, 79, 19
credit card, 2017, 7264, 135, 18
credit card, 2016, 21028, 217, 21
credit card, 2015, 17307, 227, 17
credit card, 2014, 14051, 178, 17
credit card, 2013, 13052, 107, 19
credit card, 2012, 15301, 74, 20
credit card, 2011, 1187, 30, 19
credit card or prepaid card, 2021, 4396, 122, 15
credit card or prepaid card, 2020, 33817, 304, 15
credit card or prepaid card, 2019, 25841, 243, 15
credit card or prepaid card, 2018, 24224, 255, 15
credit card or prepaid card, 2017, 15336, 162, 15
credit reporting, 2018, 1, 1, 100
credit reporting, 2017, 16671, 403, 30
credit reporting, 2016, 44193, 184, 36
credit reporting, 2015, 34517, 236, 35
credit reporting, 2014, 29156, 214, 35
credit reporting, 2013, 14223, 199, 36
credit reporting, 2012, 1671, 26, 39
"credit reporting, credit repair services, or other personal consumer reports", 2021, 47091, 688, 44
"credit reporting, credit repair services, or other personal consumer reports", 2020, 283450, 1438, 31
"credit reporting, credit repair services, or other personal consumer reports", 2019, 138638, 1327, 29
"credit reporting, credit repair services, or other personal consumer reports", 2018, 111586, 1309, 26
"credit reporting, credit repair services, or other personal consumer reports", 2017, 73260, 1001, 35
debt collection, 2021, 8232, 1014, 4
debt collection, 2020, 53747, 2101, 5
debt collection, 2019, 46597, 2122, 4
debt collection, 2018, 51037, 2236, 5
debt collection, 2017, 48260, 2229, 4
debt collection, 2016, 40259, 2120, 4
debt collection, 2015, 39700, 2122, 5
debt collection, 2014, 39215, 1719, 6
debt collection, 2013, 10650, 917, 9
"money transfer, virtual currency, or money service", 2021, 1263, 107, 25
"money transfer, virtual currency, or money service", 2020, 8289, 273, 23
"money transfer, virtual currency, or money service", 2019, 5085, 262, 26
"money transfer, virtual currency, or money service", 2018, 5435, 236, 30
"money transfer, virtual currency, or money service", 2017, 3240, 172, 33
money transfers, 2017, 441, 46, 27
money transfers, 2016, 1576, 81, 25
money transfers, 2015, 1622, 78, 32
money transfers, 2014, 1174, 68, 32
money transfers, 2013, 541, 57, 30
mortgage, 2021, 3299, 307, 6
mortgage, 2020, 24623, 768, 8
mortgage, 2019, 22743, 673, 9
mortgage, 2018, 24569, 711, 12
mortgage, 2017, 30635, 778, 12
mortgage, 2016, 41525, 751, 14
mortgage, 2015, 42346, 672, 12
mortgage, 2014, 43214, 487, 14
mortgage, 2013, 49371, 458, 25
mortgage, 2012, 37760, 350, 31
mortgage, 2011, 1148, 33, 34
other financial service, 2017, 177, 84, 6
other financial service, 2016, 463, 147, 6
other financial service, 2015, 306, 99, 10
other financial service, 2014, 113, 36, 12
payday loan, 2017, 513, 114, 11
payday loan, 2016, 1571, 213, 17
payday loan, 2015, 1595, 244, 8
payday loan, 2014, 1697, 146, 17
payday loan, 2013, 167, 28, 14
"payday loan, title loan, or personal loan", 2021, 457, 160, 5
"payday loan, title loan, or personal loan", 2020, 4212, 492, 4
"payday loan, title loan, or personal loan", 2019, 4344, 483, 4
"payday loan, title loan, or personal loan", 2018, 4362, 469, 5
"payday loan, title loan, or personal loan", 2017, 2911, 378, 7
prepaid card, 2017, 463, 34, 19
prepaid card, 2016, 1258, 48, 21
prepaid card, 2015, 1770, 48, 42
prepaid card, 2014, 328, 28, 23
student loan, 2021, 537, 56, 34
student loan, 2020, 4409, 184, 33
student loan, 2019, 7204, 194, 41
student loan, 2018, 8781, 200, 46
student loan, 2017, 17182, 232, 63
student loan, 2016, 8065, 226, 34
student loan, 2015, 4499, 171, 37
student loan, 2014, 4302, 137, 44
student loan, 2013, 2994, 91, 45
student loan, 2012, 2814, 51, 43
vehicle loan or lease, 2021, 969, 121, 13
vehicle loan or lease, 2020, 6971, 307, 13
vehicle loan or lease, 2019, 5505, 325, 12
vehicle loan or lease, 2018, 5879, 316, 12
vehicle loan or lease, 2017, 3665, 241, 13
virtual currency, 2017, 3, 1, 100
virtual currency, 2016, 7, 2, 57
virtual currency, 2015, 7, 1, 100
virtual currency, 2014, 1, 1, 100
